sgUF;Nome;sgPartido;Nome_dep_simplificado;flag_reeleito_final
RJ;Bebeto;PP;bebeto;Nao
RJ;Benedita da Silva;PT;benedita da silva;Sim
RN;Benes Leocádio;UNIÃO;benes leocadio;Sim
MS;Beto Pereira;PSDB;beto pereira;Sim
PR;Beto Preto;PSD;beto preto;Nao
PR;Beto Richa;PSDB;beto richa;Nao
DF;Bia Kicis;PL;bia kicis;Sim
RS;Bibo Nunes;PL;bibo nunes;Nao
RS;Bohn Gass;PT;bohn gass;Sim
SE;Bosco Costa;PL;bosco costa;Nao
MG;Bruno Farias;AVANTE;bruno farias;Nao
SP;Bruno Ganem;PODE;bruno ganem;Nao
PB;Cabo Gilberto Silva;PL;cabo gilberto silva;Nao
RJ;Caio Vianna;PSD;caio vianna;Nao
MS;Camila Jara;PT;camila jara;Nao
AM;Capitão Alberto Neto;PL;capitao alberto neto;Sim
BA;Capitão Alden;PL;capitao alden;Nao
SP;Capitão Augusto;PL;capitao augusto;Sim
SE;Capitão Samuel;PP;capitao samuel;Nao
SC;Carla Ayres;PT;carla ayres;Nao
RN;Carla Dickson;UNIÃO;carla dickson;Nao
SP;Carla Zambelli;PL;carla zambelli;Sim
SC;Carlos Chiodini;MDB;carlos chiodini;Sim
RS;Carlos Gomes;REPUBLICANOS;carlos gomes;Sim
TO;Carlos Henrique Gaguim;UNIÃO;carlos henrique gaguim;Sim
RJ;Carlos Jordy;PL;carlos jordy;Sim
SP;Carlos Sampaio;PSD;carlos sampaio;Sim
PE;Carlos Veras;PT;carlos veras;Sim
SP;Carlos Zarattini;PT;carlos zarattini;Sim
SC;Carmen Zanotto;CIDADANIA;carmen zanotto;Sim
PR;Carol Dartora;PT;carol dartora;Nao
SC;Caroline de Toni;PL;caroline de toni;Sim
PI;Castro Neto;PSD;castro neto;Nao
MG;Célia Xakriabá;PSOL;celia xakriaba;Nao
TO;Célio Moura;PT;celio moura;Nao
GO;Célio Silveira;MDB;celio silveira;Sim
CE;Célio Studart;PSD;celio studart;Sim
SP;Celso Russomanno;REPUBLICANOS;celso russomanno;Sim
PA;Celso Sabino;UNIÃO;celso sabino;Sim
SP;Cezinha de Madureira;PSD;cezinha de madureira;Sim
BA;Charles Fernandes;PSD;charles fernandes;Nao
RJ;Chico Alencar;PSOL;chico alencar;Nao
RJ;Chiquinho Brazão;S.PART.;chiquinho brazao;Sim
RJ;Chris Tonietto;PL;chris tonietto;Sim
PR;Christiane de Souza Yared;PP;christiane de souza yared;Nao
PE;Clarissa Tércio;PP;clarissa tercio;Nao
BA;Claudio Cajado;PP;claudio cajado;Sim
MA;Cleber Verde;MDB;cleber verde;Sim
PE;Clodoaldo Magalhães;PV;clodoaldo magalhaes;Nao
SC;Cobalchini;MDB;cobalchini;Nao
SC;Coronel Armando;PL;coronel armando;Nao
MT;Coronel Assis;UNIÃO;coronel assis;Nao
RO;Coronel Chrisóstomo;PL;coronel chrisostomo;Sim
MT;Coronel Fernanda;PL;coronel fernanda;Nao
PE;Coronel Meira;PL;coronel meira;Nao
SP;Coronel Telhada;PP;coronel telhada;Nao
AC;Coronel Ulysses;UNIÃO;coronel ulysses;Nao
RS;Covatti Filho;PP;covatti filho;Sim
RO;Cristiane Lopes;UNIÃO;cristiane lopes;Nao
ES;Da Vitoria;PP;da vitoria;Sim
MS;Dagoberto Nogueira;PSDB;dagoberto nogueira;Sim
RS;Daiana Santos;PCdoB;daiana santos;Nao
BA;Dal Barreto;UNIÃO;dal barreto;Nao
PB;Damião Feliciano;UNIÃO;damiao feliciano;Sim
MG;Dandara;PT;dandara;Nao
RJ;Dani Cunha;UNIÃO;dani cunha;Nao
GO;Daniel Agrobom;PL;daniel agrobom;Sim
BA;Daniel Almeida;PCdoB;daniel almeida;Sim
AL;Daniel Barbosa;PP;daniel barbosa;Sim
SC;Daniel Freitas;PL;daniel freitas;Sim
SP;Daniel José;PODE;daniel jose;Sim
RS;Daniel Trzeciak;PSDB;daniel trzeciak;Sim
RJ;Daniela do Waguinho;UNIÃO;daniela do waguinho;Sim
SC;Daniela Reinehr;PL;daniela reinehr;Nao
CE;Danilo Forte;UNIÃO;danilo forte;Sim
RS;Danrlei de Deus Hinterholz;PSD;danrlei de deus hinterholz;Nao
SC;Darci de Matos;PSD;darci de matos;Nao
SP;David Soares;UNIÃO;david soares;Sim
CE;Dayany Bittencourt;UNIÃO;dayany bittencourt;Nao
RR;Defensor Stélio Dener;REPUBLICANOS;defensor stelio dener;Nao
GO;Delegada Adriana Accorsi;PT;delegada adriana accorsi;Nao
MG;Delegada Ione;AVANTE;delegada ione;Nao
SE;Delegada Katarina;PSD;delegada katarina;Nao
SP;Delegado Bruno Lima;PP;delegado bruno lima;Nao
PA;Delegado Caveira;PL;delegado caveira;Nao
SP;Delegado da Cunha;PP;delegado da cunha;Nao
PA;Delegado Éder Mauro;PL;delegado eder mauro;Sim
AL;Delegado Fabio Costa;PP;delegado fabio costa;Nao
MG;Delegado Marcelo Freitas;UNIÃO;delegado marcelo freitas;Sim
PR;Delegado Matheus Laiola;UNIÃO;delegado matheus laiola;Nao
SP;Delegado Palumbo;MDB;delegado palumbo;Nao
SP;Delegado Paulo Bilynskyj;PL;delegado paulo bilynskyj;Nao
RJ;Delegado Ramagem;PL;delegado ramagem;Nao
MG;Délio Pinheiro;PDT;delio pinheiro;Nao
PR;Deltan Dallagnol;PODE;deltan dallagnol;Nao
RS;Denise Pessôa;PT;denise pessoa;Nao
MA;Detinha;PL;detinha;Nao
MG;Diego Andrade;PSD;diego andrade;Sim
BA;Diego Coronel;PSD;diego coronel;Nao
PR;Diego Garcia;REPUBLICANOS;diego garcia;Sim
PR;Dilceu Sperafico;PP;dilceu sperafico;Nao
PA;Dilvanda Faro;PT;dilvanda faro;Nao
MG;Dimas Fabiano;PP;dimas fabiano;Sim
RJ;Dimas Gadelha;PT;dimas gadelha;Nao
CE;Domingos Neto;PSD;domingos neto;Sim
MG;Domingos Sávio;PL;domingos savio;Sim
AP;Dorinaldo Malafaia;PDT;dorinaldo malafaia;Nao
SP;Douglas Viegas;UNIÃO;douglas viegas;Nao
RJ;Doutor Luizinho;PP;doutor luizinho;Sim
AC;Dr Fabio Rueda;UNIÃO;dr fabio rueda;Nao
RJ;Dr Flávio;PL;dr flavio;Nao
MA;Dr. Benjamim;UNIÃO;dr. benjamim;Nao
RJ;Dr. Daniel Soranz;PSD;dr. daniel soranz;Nao
RO;Dr. Fernando Máximo;UNIÃO;dr. fernando maximo;Nao
PI;Dr. Francisco;PT;dr. francisco;Nao
MG;Dr. Frederico;PRD;dr. frederico;Sim
MA;Dr. Gonçalo;PODE;dr. goncalo;Nao
GO;Dr. Ismael Alexandrino;PSD;dr. ismael alexandrino;Nao
CE;Dr. Jaziel;PL;dr. jaziel;Sim
MS;Dr. Luiz Ovando;PP;dr. luiz ovando;Sim
MA;Dr. Remy Soares;PP;dr. remy soares;Nao
ES;Dr. Victor Linhalis;PODE;dr. victor linhalis;Nao
GO;Dr. Zacharias Calil;UNIÃO;dr. zacharias calil;Sim
PA;Dra. Alessandra Haber;MDB;dra. alessandra haber;Nao
CE;Dra. Mayra Pinheiro;PL;dra. mayra pinheiro;Nao
MG;Duarte Gonçalves Jr;REPUBLICANOS;duarte goncalves jr;Nao
MA;Duarte Jr.;PSB;duarte jr;Nao
RR;Duda Ramos;MDB;duda ramos;Nao
MG;Duda Salabert;PDT;duda salabert;Nao
MG;Eduardo Barbosa;PSDB;eduardo barbosa;Nao
CE;Eduardo Bismarck;PDT;eduardo bismarck;Sim
SP;Eduardo Bolsonaro;PL;eduardo bolsonaro;Sim
SP;Eduardo Cury;PSDB;eduardo cury;Nao
PE;Eduardo da Fonte;PP;eduardo da fonte;Sim
AC;Eduardo Velloso;UNIÃO;eduardo velloso;Nao
PA;Elcione Barbalho;MDB;elcione barbalho;Sim
TO;Eli Borges;PL;eli borges;Sim
CE;Eliane Braz;PSD;eliane braz;Nao
BA;Elisangela Araujo;PT;elisangela araujo;Nao
PB;Eliza Virgínia;PP;eliza virginia;Nao
BA;Elmar Nascimento;UNIÃO;elmar nascimento;Sim
SP;Ely Santos;REPUBLICANOS;ely santos;Nao
MT;Emanuel Pinheiro Neto;MDB;emanuel pinheiro neto;Nao
MG;Emidinho Madeira;PL;emidinho madeira;Sim
CE;Enfermeira Ana Paula;PODE;enfermeira ana paula;Nao
RJ;Enfermeira Rejane;PCdoB;enfermeira rejane;Nao
PR;Enio Verri;PT;enio verri;Sim
PE;Eriberto Medeiros;PSB;eriberto medeiros;Nao
SP;Erika Hilton;PSOL;erika hilton;Nao
DF;Erika Kokay;PT;erika kokay;Sim
MG;Eros Biondini;PL;eros biondini;Sim
MG;Euclydes Pettersen;REPUBLICANOS;euclydes pettersen;Sim
CE;Eunício Oliveira;MDB;eunicio oliveira;Nao
ES;Evair Vieira de Melo;PP;evair vieira de melo;Sim
MT;Fabio Garcia;UNIÃO;fabio garcia;Nao
SE;Fábio Henrique;UNIÃO;fabio henrique;Nao
MA;Fábio Macedo;PODE;fabio macedo;Nao
SE;Fabio Reis;PSD;fabio reis;Sim
SC;Fabio Schiochet;UNIÃO;fabio schiochet;Sim
SP;Fábio Teruel;MDB;fabio teruel;Nao
SP;Fausto Pinato;PP;fausto pinato;Sim
AM;Fausto Santos Jr.;UNIÃO;fausto santos jr;Nao
SP;Felipe Becari;UNIÃO;felipe becari;Nao
PE;Felipe Carreras;PSB;felipe carreras;Sim
PR;Felipe Francischini;UNIÃO;felipe francischini;Sim
MG;Felipe Saliba;PRD;felipe saliba;Nao
BA;Félix Mendonça Júnior;PDT;felix mendonca junior;Sim
RS;Fernanda Melchionna;PSOL;fernanda melchionna;Sim
CE;Fernanda Pessoa;UNIÃO;fernanda pessoa;Nao
PE;Fernando Coelho Filho;UNIÃO;fernando coelho filho;Sim
RN;Fernando Mineiro;PT;fernando mineiro;Sim
PE;Fernando Monteiro;REPUBLICANOS;fernando monteiro;Sim
PE;Fernando Rodolfo;PL;fernando rodolfo;Sim
PR;Filipe Barros;PL;filipe barros;Sim
TO;Filipe Martins;PL;filipe martins;Nao
GO;Flávia Morais;PDT;flavia morais;Sim
MT;Flavinha;MDB;flavinha;Nao
PI;Flávio Nogueira;PT;flavio nogueira;Sim
PI;Florentino Neto;PT;florentino neto;Nao
RS;Franciane Bayer;REPUBLICANOS;franciane bayer;Nao
MG;Fred Costa;PRD;fred costa;Sim
DF;Fred Linhares;REPUBLICANOS;fred linhares;Nao
RR;Gabriel Mota;REPUBLICANOS;gabriel mota;Nao
BA;Gabriel Nunes;PSD;gabriel nunes;Nao
RN;General Girão;PL;general girao;Sim
RJ;General Pazuello;PL;general pazuello;Nao
SC;Geovania de Sá;PSDB;geovania de sa;Nao
PR;Geraldo Mendes;UNIÃO;geraldo mendes;Nao
MS;Geraldo Resende;PSDB;geraldo resende;Sim
AC;Gerlen Diniz;PP;gerlen diniz;Nao
PB;Gervásio Maia;PSB;gervasio maia;Sim
PR;Giacobo;PL;giacobo;Sim
MA;Gil Cutrim;REPUBLICANOS;gil cutrim;Nao
MG;Gilberto Abramo;REPUBLICANOS;gilberto abramo;Sim
SP;Gilberto Nascimento;PSD;gilberto nascimento;Sim
ES;Gilson Daniel;PODE;gilson daniel;Sim
SC;Gilson Marques;NOVO;gilson marques;Sim
ES;Gilvan da Federal;PL;gilvan da federal;Nao
DF;Gilvan Maximo;REPUBLICANOS;gilvan maximo;Nao
RS;Giovani Cherini;PL;giovani cherini;Sim
MT;Gisela Simona;UNIÃO;gisela simona;Nao
RJ;Glauber Braga;PSOL;glauber braga;Sim
MG;Gláucia Santiago;PL;glaucia santiago;Nao
GO;Glaustin da Fokus;PODE;glaustin da fokus;Sim
PR;Gleisi Hoffmann;PT;gleisi hoffmann;Sim
MG;Greyce Elias;AVANTE;greyce elias;Sim
SP;Guilherme Boulos;PSOL;guilherme boulos;Nao
SP;Guilherme Derrite;PL;guilherme derrite;Nao
PE;Guilherme Uchoa;PSB;guilherme uchoa;Nao
GO;Gustavo Gayer;PL;gustavo gayer;Nao
SE;Gustinho Ribeiro;REPUBLICANOS;gustinho ribeiro;Sim
RJ;Gutemberg Reis;MDB;gutemberg reis;Sim
RS;Heitor Schuch;PSB;heitor schuch;Sim
ES;Helder Salomão;PT;helder salomao;Sim
RR;Helena Lima;MDB;helena lima;Nao
PA;Hélio Leite;UNIÃO;helio leite;Nao
RJ;Helio Lopes;PL;helio lopes;Sim
PA;Henderson Pinto;MDB;henderson pinto;Nao
MA;Henrique Júnior;PL;henrique junior;Nao
MG;Hercílio Coelho Diniz;MDB;hercilio coelho diniz;Sim
GO;Hildo do Candango;REPUBLICANOS;hildo do candango;Nao
MA;Hildo Rocha;MDB;hildo rocha;Nao
RJ;Hugo Leal;PSD;hugo leal;Sim
PB;Hugo Motta;REPUBLICANOS;hugo motta;Sim
SE;Icaro de Valmir;PL;icaro de valmir;Nao
CE;Idilvan Alencar;PDT;idilvan alencar;Sim
MG;Igor Timo;PSD;igor timo;Sim
SC;Ismael;PSD;ismael;Nao
AL;Isnaldo Bulhões Jr.;MDB;isnaldo bulhoes jr;Sim
MA;Ivan Junior;UNIÃO;ivan junior;Nao
SP;Ivan Valente;PSOL;ivan valente;Nao
BA;Ivoneide Caetano;PT;ivoneide caetano;Nao
PE;Iza Arruda;MDB;iza arruda;Nao
ES;Jack Rocha;PT;jack rocha;Nao
PI;Jadyel Alencar;REPUBLICANOS;jadyel alencar;Nao
RJ;Jandira Feghali;PCdoB;jandira feghali;Sim
GO;Jeferson Rodrigues;REPUBLICANOS;jeferson rodrigues;Nao
SP;Jefferson Campos;PL;jefferson campos;Sim
RR;Jhonatan de Jesus;REPUBLICANOS;jhonatan de jesus;Sim
SP;Jilmar Tatto;PT;jilmar tatto;Nao
BA;João Carlos Bacelar;PL;joao carlos bacelar;Sim
SP;João Cury;MDB;joao cury;Nao
SE;João Daniel;PT;joao daniel;Sim
BA;João Leão;PP;joao leao;Nao
RN;João Maia;PP;joao maia;Sim
PA;Joaquim Passarinho;PL;joaquim passarinho;Sim
SP;Jonas Donizette;PSB;jonas donizette;Nao
RJ;Jones Moura;PSD;jones moura;Nao
RJ;Jorge Braz;REPUBLICANOS;jorge braz;Sim
SC;Jorge Goetten;REPUBLICANOS;jorge goetten;Sim
BA;Jorge Solla;PT;jorge solla;Sim
CE;José Airton Félix Cirilo;PT;jose airton felix cirilo;Sim
CE;José Guimarães;PT;jose guimaraes;Sim
MT;José Medeiros;PL;jose medeiros;Sim
GO;José Nelto;UNIÃO;jose nelto;Sim
PA;José Priante;MDB;jose priante;Sim
BA;José Rocha;UNIÃO;jose rocha;Sim
BA;Joseildo Ramos;PT;joseildo ramos;Sim
AP;Josenildo;PDT;josenildo;Nao
BA;Josias Gomes;PT;josias gomes;Nao
MA;Josimar Maranhãozinho;PL;josimar maranhaozinho;Sim
MA;Josivaldo JP;PSD;josivaldo jp;Sim
MT;Juarez Costa;MDB;juarez costa;Sim
SC;Julia Zanatta;PL;julia zanatta;Nao
SP;Juliana Cardoso;PT;juliana cardoso;Nao
MT;Juliana Kolankiewicz;MDB;juliana kolankiewicz;Nao
PI;Julio Arcoverde;PP;julio arcoverde;Nao
PI;Júlio Cesar;PSD;julio cesar;Sim
DF;Julio Cesar Ribeiro;REPUBLICANOS;julio cesar ribeiro;Nao
RJ;Julio Lopes;PP;julio lopes;Sim
TO;Júlio Oliveira;PP;julio oliveira;Nao
RJ;Juninho do Pneu;UNIÃO;juninho do pneu;Sim
MG;Junio Amaral;PL;junio amaral;Sim
PA;Júnior Ferrari;PSD;junior ferrari;Sim
MA;Junior Lourenço;PL;junior lourenco;Sim
CE;Júnior Mano;PSB;junior mano;Sim
MA;Juscelino Filho;UNIÃO;juscelino filho;Sim
MG;Katia Dias;REPUBLICANOS;katia dias;Nao
PA;Keniston Braga;MDB;keniston braga;Nao
SP;Kiko Celeguim;PT;kiko celeguim;Nao
SP;Kim Kataguiri;UNIÃO;kim kataguiri;Sim
MG;Lafayette de Andrada;REPUBLICANOS;lafayette de andrada;Sim
RJ;Laura Carneiro;PSD;laura carneiro;Sim
TO;Lázaro Botelho;PP;lazaro botelho;Sim
PR;Leandre;PSD;leandre;Sim
RO;Lebrão;UNIÃO;lebrao;Nao
GO;Lêda Borges;PSDB;leda borges;Nao
PR;Lenir de Assis;PT;lenir de assis;Nao
BA;Leo Prates;PDT;leo prates;Nao
PB;Leonardo Gadelha;PODE;leonardo gadelha;Nao
MG;Leonardo Monteiro;PT;leonardo monteiro;Sim
CE;Leônidas Cristino;PDT;leonidas cristino;Nao
BA;Leur Lomanto Júnior;UNIÃO;leur lomanto junior;Nao
BA;Lídice da Mata;PSB;lidice da mata;Sim
MG;Lincoln Portela;PL;lincoln portela;Sim
RJ;Lindbergh Farias;PT;lindbergh farias;Nao
SP;Loreny;SOLIDARIEDADE;loreny;Nao
PE;Lucas Ramos;PSB;lucas ramos;Nao
RS;Lucas Redecker;PSDB;lucas redecker;Sim
PR;Luciano Alves;PSD;luciano alves;Nao
AL;Luciano Amaral;PSD;luciano amaral;Nao
RS;Luciano Azevedo;PSD;luciano azevedo;Nao
PE;Luciano Bivar;UNIÃO;luciano bivar;Sim
PR;Luciano Ducci;PSB;luciano ducci;Sim
MA;Luciano Galego;PL;luciano galego;Nao
RJ;Luciano Vieira;REPUBLICANOS;luciano vieira;Nao
RO;Lucio Mosquini;MDB;lucio mosquini;Sim
MA;Lucyana Genésio;PDT;lucyana genesio;Nao
RJ;Luis Carlos Gomes;REPUBLICANOS;luis carlos gomes;Nao
MG;Luis Tibé;AVANTE;luis tibe;Sim
PR;Luisa Canziani;PSD;luisa canziani;Sim
RJ;Luiz Antonio Corrêa;PP;luiz antonio correa;Nao
RS;Luiz Carlos Busato;UNIÃO;luiz carlos busato;Nao
PR;Luiz Carlos Hauly;PODE;luiz carlos hauly;Nao
SP;Luiz Carlos Motta;PL;luiz carlos motta;Sim
PB;Luiz Couto;PT;luiz couto;Nao
MG;Luiz Fernando Faria;PSD;luiz fernando faria;Nao
SC;Luiz Fernando Vampiro;MDB;luiz fernando vampiro;Nao
CE;Luiz Gastão;PSD;luiz gastao;Nao
RJ;Luiz Lima;NOVO;luiz lima;Sim
PR;Luiz Nishimori;PSD;luiz nishimori;Sim
SP;Luiz Philippe de Orleans e Bragança;PL;luiz philippe de orleans e braganca;Sim
SP;Luiza Erundina;PSOL;luiza erundina;Sim
CE;Luizianne Lins;PT;luizianne lins;Sim
PE;Lula da Fonte;PP;lula da fonte;Nao
GO;Magda Mofatto;PRD;magda mofatto;Sim
SP;Marangoni;UNIÃO;marangoni;Nao
RS;Marcel van Hattem;NOVO;marcel van hattem;Sim
MG;Marcelo Álvaro Antônio;PL;marcelo alvaro antonio;Sim
RJ;Marcelo Calero;PSD;marcelo calero;Nao
RJ;Marcelo Crivella;REPUBLICANOS;marcelo crivella;Nao
SP;Marcelo Lima;PSB;marcelo lima;Nao
RS;Marcelo Moraes;PL;marcelo moraes;Sim
RJ;Marcelo Queiroz;PP;marcelo queiroz;Nao
AM;Marcelo Ramos;PSD;marcelo ramos;Nao
SP;Marcio Alvino;PL;marcio alvino;Sim
RS;Márcio Biolchi;MDB;marcio biolchi;Sim
GO;Márcio Correa;MDB;marcio correa;Nao
MA;Márcio Honaiser;PDT;marcio honaiser;Nao
MA;Márcio Jerry;PCdoB;marcio jerry;Sim
BA;Márcio Marinho;REPUBLICANOS;marcio marinho;Sim
SP;Marco Bertaiolli;PSD;marco bertaiolli;Sim
PR;Marco Brasil;PP;marco brasil;Nao
RS;Marcon;PT;marcon;Sim
PI;Marcos Aurélio Sampaio;PSD;marcos aurelio sampaio;Sim
SP;Marcos Pereira;REPUBLICANOS;marcos pereira;Sim
MS;Marcos Pollon;PL;marcos pollon;Nao
RJ;Marcos Soares;UNIÃO;marcos soares;Sim
RJ;Marcos Tavares;PDT;marcos tavares;Nao
PE;Maria Arraes;SOLIDARIEDADE;maria arraes;Nao
RS;Maria do Rosário;PT;maria do rosario;Sim
SP;Maria Rosas;REPUBLICANOS;maria rosas;Sim
MA;Mariana Carvalho;REPUBLICANOS;mariana carvalho;Nao
SP;Marina Silva;REDE;marina silva;Nao
SP;Mario Frias;PL;mario frias;Nao
MG;Mário Heringer;PDT;mario heringer;Sim
BA;Mário Negromonte Jr.;PP;mario negromonte jr;Sim
MA;Marreca Filho;PRD;marreca filho;Sim
GO;Marussa Boldrin;MDB;marussa boldrin;Nao
AL;Marx Beltrão;PP;marx beltrao;Sim
CE;Matheus Noronha;PL;matheus noronha;Nao
RO;Maurício Carvalho;UNIÃO;mauricio carvalho;Nao
MG;Mauricio do Vôlei;PL;mauricio do volei;Nao
RS;Mauricio Marcon;PODE;mauricio marcon;Sim
SP;Mauricio Neves;PP;mauricio neves;Nao
CE;Mauro Benevides Filho;PDT;mauro benevides filho;Sim
RJ;Max Lemos;PDT;max lemos;Nao
AC;Meire Serafim;UNIÃO;meire serafim;Nao
PE;Mendonça Filho;UNIÃO;mendonca filho;Nao
PI;Merlong Solano;PT;merlong solano;Nao
PB;Mersinho Lucena;PP;mersinho lucena;Nao
ES;Messias Donato;REPUBLICANOS;messias donato;Nao
MG;Miguel Ângelo;PT;miguel angelo;Nao
SP;Miguel Lombardi;PL;miguel lombardi;Sim
SP;Milton Vieira;REPUBLICANOS;milton vieira;Sim
MG;Misael Varella;PSD;misael varella;Sim
PE;Missionária Michele Collins;PP;missionaria michele collins;Nao
SP;Missionário José Olimpio;PL;missionario jose olimpio;Nao
CE;Moses Rodrigues;UNIÃO;moses rodrigues;Sim
RJ;Murillo Gouvea;UNIÃO;murillo gouvea;Nao
PB;Murilo Galdino;REPUBLICANOS;murilo galdino;Nao
RN;Natália Bonavides;PT;natalia bonavides;Sim
CE;Naumi Amorim;PSD;naumi amorim;Nao
MT;Nelson Barbudo;PL;nelson barbudo;Nao
MG;Nely Aquino;PODE;nely aquino;Nao
BA;Neto Carletto;AVANTE;neto carletto;Nao
PR;Newton Bonin;UNIÃO;newton bonin;Nao
MG;Newton Cardoso Jr;MDB;newton cardoso jr;Sim
PR;Ney Leprevost;UNIÃO;ney leprevost;Nao
RR;Nicoletti;UNIÃO;nicoletti;Sim
MG;Nikolas Ferreira;PL;nikolas ferreira;Nao
SP;Nilto Tatto;PT;nilto tatto;Sim
SE;Nitinho;PSD;nitinho;Nao
MG;Odair Cunha;PT;odair cunha;Sim
PA;Olival Marques;MDB;olival marques;Sim
SP;Orlando Silva;PCdoB;orlando silva;Nao
RS;Osmar Terra;MDB;osmar terra;Sim
PE;Ossesio Silva;REPUBLICANOS;ossesio silva;Nao
RJ;Otoni de Paula;MDB;otoni de paula;Sim
BA;Otto Alencar Filho;PSD;otto alencar filho;Sim
PR;Padovani;UNIÃO;padovani;Nao
MG;Padre João;PT;padre joao;Sim
PA;Pastor Claudio Mariano;UNIÃO;pastor claudio mariano;Nao
RR;Pastor Diniz;UNIÃO;pastor diniz;Nao
PE;Pastor Eurico;PL;pastor eurico;Sim
MA;Pastor Gil;PL;pastor gil;Sim
RJ;Pastor Henrique Vieira;PSOL;pastor henrique vieira;Nao
BA;Pastor Sargento Isidório;AVANTE;pastor sargento isidorio;Sim
MG;Patrus Ananias;PT;patrus ananias;Sim
AM;Pauderney Avelino;UNIÃO;pauderney avelino;Nao
AL;Paulão;PT;paulao;Sim
SP;Paulinho da Força;SOLIDARIEDADE;paulinho da forca;Nao
RN;Paulinho Freire;UNIÃO;paulinho freire;Nao
MG;Paulo Abi-Ackel;PSDB;paulo abi-ackel;Sim
SP;Paulo Alexandre Barbosa;PSDB;paulo alexandre barbosa;Nao
BA;Paulo Azi;UNIÃO;paulo azi;Sim
ES;Paulo Folletto;PSB;paulo folletto;Sim
SP;Paulo Freire Costa;PL;paulo freire costa;Sim
MG;Paulo Guedes;PT;paulo guedes;Sim
PR;Paulo Litro;PSD;paulo litro;Nao
BA;Paulo Magalhães;PSD;paulo magalhaes;Sim
MA;Paulo Marinho Jr;PL;paulo marinho jr;Nao
RS;Paulo Pimenta;PT;paulo pimenta;Sim
MG;Pedro Aihara;PRD;pedro aihara;Nao
